"Topic","Subtopic","Description","Video Links","Projects","Interview Questions"
"Cybersecurity Overview","What is Cybersecurity?","Understand the scope, goals (CIA triad), and importance of cybersecurity.","https://www.youtube.com/watch?v=inWWhr5tnEA","Create a slide deck explaining the CIA triad with real‑world breach examples.","1. What are the three pillars of the CIA triad? 2. How does cybersecurity differ from information security? 3. Why is confidentiality important? 4. How do you ensure data integrity? 5. What are common threats to availability? 6. How does risk assessment support cybersecurity? 7. What is the difference between a threat, a vulnerability, and a risk? 8. How does defense‑in‑depth mitigate risk? 9. What is the role of security awareness training? 10. How do you measure the effectiveness of a cybersecurity program?"
"Threat Landscape","Common Threats & Attack Vectors","Learn about malware, phishing, DDoS, insider threats, and social engineering.","https://www.youtube.com/watch?v=Y9dv6_h9Vp0","Simulate a phishing campaign in a lab environment and measure click‑through rate.","1. What is the difference between phishing and spear phishing? 2. How do DDoS attacks disrupt services? 3. What distinguishes ransomware from other malware? 4. How does a man‑in‑the‑middle attack work? 5. What are indicators of insider threats? 6. How do you detect a social engineering attempt? 7. What is a zero‑day exploit? 8. How do attackers use drive‑by downloads? 9. What is credential stuffing? 10. How do you defend against DNS poisoning?"
"Security Policies","Security Frameworks & Standards","Explore NIST, ISO 27001, CIS Controls, and GDPR/PCI‑DSS compliance requirements.","https://www.youtube.com/watch?v=9j6eak5lNes","Draft a basic security policy for password management and incident response.","1. What is the purpose of ISO 27001? 2. How does GDPR impact data handling? 3. What are the five functions of the NIST Cybersecurity Framework? 4. What are CIS Controls? 5. How do you implement least‑privilege access? 6. What is a security baseline? 7. How do you conduct a gap analysis? 8. What is the difference between compliance and security? 9. How do you maintain audit trails? 10. What is the role of policy review and update?"
"Network Security","Firewalls & IDS/IPS","Understand packet filtering, stateful vs. stateless firewalls, and intrusion detection/prevention.","https://www.youtube.com/watch?v=W1pMikW6ck4","Deploy and configure Snort IDS on a virtual network to detect port scans.","1. What’s the difference between IDS and IPS? 2. How does a stateful firewall work? 3. What are common firewall rule types? 4. How do you prevent port scanning? 5. What is deep packet inspection? 6. How do you tune IDS rules? 7. What is a demilitarized zone (DMZ)? 8. How do you secure remote access VPNs? 9. What is ARP poisoning and how do you defend against it? 10. What logs do you monitor for network anomalies?"
"Access Control","Authentication & Authorization","Learn about MFA, SSO, RBAC, least‑privilege, and session management.","https://www.youtube.com/watch?v=VQz6W0UbtLI","Implement role‑based access control in a web app using OAuth 2.0 and JWT.","1. What is the principle of least privilege? 2. How does OAuth 2.0 differ from SAML? 3. What are the factors of MFA? 4. How does single sign‑on (SSO) work? 5. What is RBAC vs. ABAC? 6. How do you secure session tokens? 7. What is session fixation? 8. How do you implement time‑based one‑time passwords (TOTP)? 9. What is a privileged access management (PAM) system? 10. How do you revoke compromised credentials?"
"Cryptography Basics","Encryption & Hashing","Explore symmetric vs. asymmetric encryption, hashing, digital signatures, and PKI.","https://www.youtube.com/watch?v=Ud5xKCYQTjM","Use OpenSSL to generate key pairs and encrypt/decrypt a test file.","1. What is the difference between AES and RSA? 2. How does a digital signature work? 3. What is a hash collision? 4. How does HMAC ensure integrity? 5. What is a certificate authority (CA)? 6. How do you verify a digital certificate? 7. What is perfect forward secrecy? 8. How does PKI support authentication? 9. What are common hash algorithms? 10. How do you manage key rotation?"
"Endpoint Security","Antivirus & EDR","Understand how endpoint protection platforms detect and respond to malware and anomalies.","https://www.youtube.com/watch?v=-Z7jVw3ZDKw","Set up an open‑source EDR agent (e.g., Wazuh) and simulate a malware execution.","1. What is endpoint detection and response (EDR)? 2. How do antivirus signatures differ from behavioral detection? 3. What is host-based intrusion detection? 4. How do you quarantine malicious files? 5. What are kernel-level vs. user-level agents? 6. How do you handle false positives? 7. What is application whitelisting? 8. How do you secure USB ports? 9. What logs do you collect from endpoints? 10. How do you perform forensic analysis on a compromised host?"
"Vulnerability Management","Scanning & Patching","Learn to discover, prioritize, and remediate vulnerabilities using tools like Nessus/OpenVAS.","https://www.youtube.com/watch?v=fDd6tFlSYzA","Perform a vulnerability scan on a test network and create a remediation plan.","1. What is CVSS and how is it used? 2. How do you validate that a patch was successful? 3. What is the difference between authenticated and unauthenticated scans? 4. How do you prioritize remediation? 5. What is a false positive in vulnerability scanning? 6. How often should scans be run? 7. What is patch management lifecycle? 8. How do you handle legacy systems? 9. What are compensating controls? 10. How do you report scan results to stakeholders?"
"Incident Response","IR Process & Playbooks","Understand the phases of incident response: preparation, detection, containment, eradication, recovery.","https://www.youtube.com/watch?v=2r9E9U6JOV0","Develop an incident response playbook for a ransomware outbreak.","1. What are the five phases of incident response? 2. How do you perform containment vs. eradication? 3. What is the role of a runbook? 4. How do you preserve evidence? 5. What is chain of custody? 6. How do you communicate during an incident? 7. What is root cause analysis? 8. How do you perform tabletop exercises? 9. What metrics track IR effectiveness? 10. How do you conduct a post‑incident review?"
"Security Monitoring","SIEM & Log Analysis","Learn to collect, correlate, and analyze logs using SIEM platforms (e.g., Splunk, ELK).","https://www.youtube.com/watch?v=9pkLDEEs20I","Ingest syslogs into an ELK stack and create alerts for suspicious login activity.","1. What is a SIEM and why is it critical? 2. How do you reduce false positives in log alerts? 3. What is log normalization? 4. How do you implement log retention policies? 5. What is threat hunting? 6. How do you write correlation rules? 7. What is MITRE ATT&CK? 8. How do you monitor cloud logs? 9. What dashboards are essential? 10. How do you escalate alerts?"
