Module,Subtopic,Description,Video Links,Project,Interview Questions
"Programming Fundamentals","Variables & Data Types","Learn about primitive data types, variables, and basic operations in a programming language (e.g., Python or Java).","https://www.youtube.com/watch?v=rfscVS0vtbw","Build a command‑line calculator supporting +, –, *, and /.","1. What are primitive data types? 2. How do you declare a variable? 3. What is the difference between mutable and immutable types? 4. How does type inference work? 5. What is dynamic vs. static typing? 6. How do you perform string concatenation? 7. What are common pitfalls with floating‑point arithmetic? 8. How do you convert between data types? 9. What is variable scope? 10. How do you document code variables?"
"Control Flow","Conditionals & Loops","Understand if/else statements, for and while loops, and control keywords like break and continue.","https://www.youtube.com/watch?v=Z1Yd7upQsXY","Write a program to find prime numbers up to N.","1. What is the difference between for and while loops? 2. How do you handle nested loops? 3. What is short‑circuit evaluation? 4. How do you exit a loop prematurely? 5. What are guard clauses? 6. How do you implement a switch‑case (or equivalent)? 7. What is an off‑by‑one error? 8. How do you use loop else clauses? 9. What is the difference between == and === (in languages that support both)? 10. How do you avoid infinite loops?"
"Functions & Modularization","Defining & Using Functions","Learn how to write reusable functions, pass arguments, return values, and organize code into modules.","https://www.youtube.com/watch?v=NSbOtYzIQI0","Create a library of string‑processing functions (e.g., reverse, palindrome check).","1. What is a pure function? 2. How do you handle default arguments? 3. What is recursion? 4. What are higher‑order functions? 5. How do you document a function’s interface? 6. What is the difference between a function and a method? 7. How do you handle variable‑length argument lists? 8. What are closures? 9. How do you import and export modules? 10. What is function overloading?"
"Error Handling","Exceptions & Assertions","Understand exception handling mechanisms (try/catch/finally), and use assertions for debugging.","https://www.youtube.com/watch?v=NIWwJbo-9_8","Build a file parser that gracefully handles missing or malformed data.","1. What is the purpose of exception handling? 2. How do you define a custom exception? 3. What is the difference between checked and unchecked exceptions? 4. When should you use assertions? 5. How do you ensure resources are released after an error? 6. What is exception chaining? 7. How do you log errors? 8. What are best practices for error messages? 9. How do you test error conditions? 10. When should you avoid catching generic exceptions?"
"Basic Data Structures","Arrays, Lists & Dictionaries","Learn to store and manipulate collections: arrays (or lists), dictionaries (or maps), and basic operations on them.","https://www.youtube.com/watch?v=RBSGKlAvoiM","Implement a to‑do list application storing tasks in memory.","1. What is the difference between an array and a linked list? 2. How do you add/remove items from a list? 3. What is a hash table? 4. How do you handle key collisions? 5. What are common list traversal techniques? 6. How do you check for the existence of a key? 7. What is the time complexity of basic operations? 8. How do you iterate over dictionary entries? 9. What are ordered vs. unordered collections? 10. How do you serialize data structures to JSON?"

"Object-Oriented Programming (OOP)","Classes & Objects","Learn about classes, objects, and the principles of object‑oriented programming.","https://www.youtube.com/watch?v=apACNr7DC_s","Create a class to model a car with properties and methods (e.g., start, stop, honk).","1. What is a class and an object in OOP? 2. How do you define a constructor in OOP? 3. What is the difference between instance variables and class variables? 4. What is the self keyword in Python? 5. How do you implement inheritance in OOP? 6. What is method overloading? 7. What is the difference between public, private, and protected access modifiers? 8. What is polymorphism in OOP? 9. What is encapsulation? 10. How do you implement abstraction?"
"Object-Oriented Programming (OOP)","Inheritance","Understand how inheritance allows one class to inherit properties and behaviors from another class.","https://www.youtube.com/watch?v=RrD7vf-6Nq4","Create a program where a Dog class inherits from a Pet class.","1. What is inheritance in OOP? 2. How does the super keyword work? 3. What are the advantages of inheritance? 4. What is method overriding? 5. Can you inherit from multiple classes (multiple inheritance)? 6. What is the difference between composition and inheritance? 7. How do you prevent inheritance in Python? 8. What is a subclass? 9. What is a superclass? 10. How do you create a parent-child relationship between classes?"
"Object-Oriented Programming (OOP)","Polymorphism","Learn how polymorphism allows objects of different classes to be treated as objects of a common superclass.","https://www.youtube.com/watch?v=6jK1VuY3HLM","Create a program where different animal classes have a makeSound() method that outputs unique sounds.","1. What is polymorphism? 2. How do you implement polymorphism in Python? 3. What is the difference between static and dynamic polymorphism? 4. What is method overriding vs method overloading? 5. What are some real‑world examples of polymorphism? 6. How does polymorphism support code reusability? 7. What is the role of interfaces in polymorphism? 8. Can polymorphism be achieved without inheritance? 9. How do you use polymorphism in a game development scenario? 10. How does polymorphism relate to the Open/Closed Principle?"
"Data Structures","Stacks & Queues","Learn how to implement and use stacks and queues, two fundamental data structures.","https://www.youtube.com/watch?v=wjI1WNcIntg","Implement a stack and queue with basic operations (push, pop, enqueue, dequeue).","1. What is a stack and how does it work? 2. What is a queue and how does it work? 3. What is the difference between a stack and a queue? 4. What are some real‑life examples of stacks and queues? 5. How do you implement a stack using an array? 6. How do you implement a queue using two stacks? 7. What is the time complexity of stack operations? 8. How do you reverse a stack? 9. How does a priority queue differ from a regular queue? 10. What are circular queues?"
