"Topic","Subtopic","Description","Video Links","Interview Questions"
"Linux Fundamentals","Basic Linux Commands","Learn essential Linux commands like ls, cd, mkdir, rm, cat, touch, nano, and file permissions.","https://www.youtube.com/watch?v=ROjZy1WbCIA","1. What does chmod 755 mean? 2. How do you view hidden files in Linux? 3. What is the difference between > and >>? 4. How do you change file ownership? 5. How do you search for a file in Linux?"
"Linux Fundamentals","Package Management","Understanding package managers like apt, yum, dnf, and installing/removing software.","https://www.youtube.com/watch?v=srMZX5gGIj4","1. How do you install a package using apt? 2. What is the difference between yum and apt? 3. How do you list installed packages? 4. What’s the command to update system packages? 5. How do you install from a .deb file?"
"Linux Fundamentals","Users & Permissions","Creating users/groups, managing permissions, and configuring sudo access.","https://www.youtube.com/watch?v=E9z1sSN7F-k","1. What is the /etc/passwd file? 2. How do you add a user to a group? 3. What is sudo? 4. How do you check user permissions? 5. What is the sticky bit?"
"Linux Fundamentals","File System Hierarchy","Understand Linux directory structure: /etc, /usr, /var, /home, etc.","https://www.youtube.com/watch?v=HbgzrKJvDRw","1. What is stored in /etc? 2. What is the use of /var/log? 3. What’s the difference between /usr/bin and /bin? 4. How do you view disk usage? 5. What command shows mounted drives?"

"Version Control","Git Basics","Learn how Git works, initializing repositories, staging, committing, and checking logs.","https://www.youtube.com/watch?v=USjZcfj8yxE","1. What is Git and why is it used? 2. How do you initialize a Git repository? 3. What is the difference between git add and git commit? 4. How do you view the commit history? 5. What is the .git directory?"
"Version Control","Branching and Merging","Understand how to create branches, switch between them, and merge changes.","https://www.youtube.com/watch?v=FyAAIHHClqI","1. How do you create a new branch in Git? 2. What is fast-forward merge? 3. How do you resolve a merge conflict? 4. What is the purpose of git checkout? 5. What’s the difference between merge and rebase?"
"Version Control","GitHub Collaboration","Using GitHub for remote repositories, pull/push, issues, and collaboration.","https://www.youtube.com/watch?v=RGOj5yH7evk","1. How do you push code to GitHub? 2. What is a pull request? 3. How do you fork a repository? 4. What’s the difference between clone and fork? 5. What are GitHub Actions used for?"
"Version Control","Advanced Git Commands","Reset, revert, stash, rebase, cherry-pick, and tagging in Git.","https://www.youtube.com/watch?v=1y8bJZR2Q6M","1. What does git reset do? 2. How is git stash used? 3. What is cherry-picking? 4. How do you tag a release? 5. What is the difference between soft and hard reset?"

"CI/CD Basics","Continuous Integration (CI)","Learn the fundamentals of CI: automated testing and integration of code.","https://www.youtube.com/watch?v=1oBxy43K1Kk","1. What is Continuous Integration (CI)? 2. How does CI improve the software development process? 3. What tools are commonly used for CI? 4. What is a build pipeline? 5. What is the purpose of unit testing in CI?"
"CI/CD Tools","Jenkins Setup and Configuration","Setting up Jenkins server and configuring jobs for CI pipelines.","https://www.youtube.com/watch?v=FXeKMeY3BoM","1. What is Jenkins and how does it work? 2. How do you configure a Jenkins job? 3. How do you integrate Jenkins with GitHub? 4. What is a Jenkins pipeline? 5. How do you use Jenkins to automate testing?"
"CI/CD Tools","GitHub Actions Setup","Learn to create GitHub Actions workflows for automating testing and deployment.","https://www.youtube.com/watch?v=R8_veQiYBjI","1. What are GitHub Actions? 2. How do you create a GitHub Action workflow? 3. What is a yml file in GitHub Actions? 4. How do you automate deployments using GitHub Actions? 5. How can you integrate GitHub Actions with Jenkins?"
