"Module","Subtopic","Description","Video Links","Projects","Interview Questions"
"HTML Basics","HTML Structure","Introduction to HTML, basic structure, and tags like <html>, <head>, <body>.","https://www.youtube.com/watch?v=UB1O30fR-EE","Build a simple personal webpage with HTML structure.","1. What is HTML and its purpose? 2. What are semantic tags in HTML? 3. What is the difference between block and inline elements? 4. How do you create a hyperlink in HTML? 5. What is the role of the <title> tag? 6. What are meta tags in HTML? 7. How do you add comments in HTML? 8. What is the difference between <div> and <span>? 9. What is the purpose of the <head> section? 10. How do you add an image in HTML?"
"HTML Forms","Form Elements","Learn how to create forms using <form>, <input>, <button>, and more.","https://www.youtube.com/watch?v=fNcJuPIZ2WE","Create a contact form with name, email, and message fields.","1. What are the different input types in HTML? 2. How do you create a dropdown list in HTML? 3. What is the purpose of the <label> tag? 4. How do you add a checkbox to a form? 5. What is the difference between GET and POST methods? 6. How do you create a radio button group? 7. What is the purpose of the action attribute in <form>? 8. How do you validate form data in HTML5? 9. What is the placeholder attribute used for? 10. How do you create a submit button in HTML?"
"CSS Basics","CSS Selectors and Properties","Introduction to CSS, including selectors, properties, and applying styles.","https://www.youtube.com/watch?v=1Rs2ND1ryYc","Style a webpage using basic CSS properties.","1. What are the types of CSS selectors? 2. What is the difference between id and class selectors? 3. What is the color property in CSS? 4. How do you apply multiple CSS classes to a single element? 5. What is the difference between internal and external CSS? 6. How do you use pseudo-classes in CSS? 7. What is the purpose of the z-index property? 8. How do you set a background image in CSS? 9. What is the opacity property used for? 10. How do you create a hover effect in CSS?"
"CSS Box Model","Margin, Padding, Border","Understanding the box model and how it affects layout.","https://www.youtube.com/watch?v=rIO5326FgPE","Create a styled card with margin, padding, and border effects.","1. What is the CSS box model? 2. How do you center a div using CSS? 3. What is the difference between padding and margin? 4. How do you apply borders to an element? 5. What is the purpose of the box-sizing property? 6. How do you add shadows to a box? 7. What is the difference between border and outline? 8. How do you set border radius? 9. What happens if you set negative margins? 10. How do you create a card with equal padding and border?"
"Responsive Design","Media Queries","Learn how to create responsive layouts using media queries.","https://www.youtube.com/watch?v=yU7jJ3NbPdA","Design a responsive webpage that adapts to different screen sizes.","1. What is a media query in CSS? 2. How do you make a website mobile-friendly? 3. What is the max-width property used for? 4. How do you create a responsive image gallery? 5. What is the difference between em and rem units? 6. How do you use vh and vw units in CSS? 7. What is the purpose of min-width and max-width? 8. How do you test responsiveness in the browser? 9. What is overflow in CSS? 10. How do you hide elements in different screen sizes?"
"CSS Flexbox","Flexbox Layout","Introduction to CSS Flexbox for flexible and responsive layouts.","https://www.youtube.com/watch?v=JJSoEo8JSnc","Build a navbar using Flexbox.","1. What is Flexbox in CSS? 2. How do you center items with Flexbox? 3. What is the difference between flex-start and flex-end? 4. What is justify-content in Flexbox? 5. How do you align items horizontally and vertically? 6. What is the flex-grow property? 7. What is the difference between align-items and align-content? 8. How do you create equal-width columns using Flexbox? 9. What is the flex-basis property? 10. How do you reverse the direction of Flexbox items?"
"CSS Grid","Grid Layout","Learn the fundamentals of CSS Grid for complex layouts.","https://www.youtube.com/watch?v=EFafSYg-PkI","Create a two-column webpage layout using CSS Grid.","1. What is the difference between Flexbox and Grid? 2. How do you define columns in CSS Grid? 3. What is grid-template-rows? 4. How do you span multiple columns in Grid? 5. What is the grid-gap property? 6. How do you align grid items horizontally? 7. What is grid-area in CSS Grid? 8. How do you create a full-page layout with CSS Grid? 9. What is the difference between auto-fill and auto-fit? 10. How do you overlap items in CSS Grid?"
"HTML5 and CSS3","New Features","Explore new features in HTML5 and CSS3.","https://www.youtube.com/watch?v=Wm6CUkswsNw","Enhance an HTML form with HTML5 validation and CSS3 effects.","1. What are the new features in HTML5? 2. How do you create rounded corners using CSS3? 3. What is the placeholder attribute in HTML5? 4. How do you use CSS3 animations? 5. What is localStorage in HTML5? 6. What is the data-* attribute used for? 7. How do you create a progress bar in HTML5? 8. What are keyframes in CSS3? 9. What is transform in CSS3? 10. How do you create a gradient background in CSS3?"
"Basic Website","Combining HTML and CSS","Combine HTML and CSS to create a basic static website.","https://www.youtube.com/watch?v=PlxWf493en4","Develop a portfolio website with multiple pages.","1. How do you link an external CSS file to an HTML page? 2. What is the difference between inline and external CSS? 3. How do you create a navigation menu with HTML and CSS? 4. How do you add a favicon to a website? 5. What is the :hover pseudo-class used for? 6. How do you create a footer in HTML? 7. What is the position property in CSS? 8. How do you create a sticky header? 9. How do you add icons to a website? 10. What is the difference between absolute and relative positioning in CSS?"
"Version Control","Introduction to Git","Learn the basics of Git and version control.","https://www.youtube.com/watch?v=SWYqp7iY_Tc","Create a Git repository and push a basic project to GitHub.","1. What is Git and why is it used? 2. How do you create a new branch in Git? 3. What is the difference between git pull and git fetch? 4. How do you resolve merge conflicts in Git? 5. What is the purpose of .gitignore? 6. How do you undo the last commit? 7. What is git stash used for? 8. How do you check the Git log? 9. How do you clone a repository? 10. What is the difference between git merge and git rebase?"
