"Topic","Subtopic","Description","Video Links","Projects","Interview Questions"
"UI/UX Basics","What is UI/UX?","Introduction to the fundamentals of UI (User Interface) and UX (User Experience) design.","https://www.youtube.com/watch?v=9B1D2xWJSsk","Design a simple login page focusing on both UI (look) and UX (flow).","1. What is the difference between UI and UX? 2. Why is UX important in product development? 3. What does a UI/UX designer do? 4. Can one person handle both UI and UX? 5. How do you evaluate user experience? 6. What makes a good user interface? 7. What are the core principles of UI design? 8. What is the role of accessibility in UX? 9. Define a user flow. 10. Name a product with excellent UX and explain why."
"UI vs UX","Key Differences","Deep dive into the distinctions between UI and UX roles, processes, and responsibilities.","https://www.youtube.com/watch?v=Ovj4hFxko7c","Create a comparison chart or infographic of UI vs UX roles and tools.","1. How is UX research different from UI design? 2. What tools are used for UI and for UX? 3. Give examples of tasks handled by UX vs UI designers. 4. How do UI choices affect UX? 5. What’s more important—UI or UX? 6. How does wireframing fit into each? 7. Can UI exist without UX? 8. What are common UI tools? 9. How do user personas influence UX? 10. Define UI pattern."
"Design Thinking","5 Stages of Design Thinking","Learn the stages: Empathize, Define, Ideate, Prototype, and Test.","https://www.youtube.com/watch?v=_r0VX-aU_T8","Apply all 5 stages to redesign a university course registration platform.","1. What happens in the Empathize stage? 2. Why is Define critical in design thinking? 3. What is rapid prototyping? 4. How is user feedback integrated into this process? 5. How do you brainstorm UX solutions? 6. What tools help with the Prototype phase? 7. What’s the goal of testing in UX? 8. What role does empathy play in UX? 9. How do you validate a UX design? 10. Name tools used for ideation and prototyping."
"User-Centered Design","Designing for the User","Learn how to put users first when designing products and systems.","https://www.youtube.com/watch?v=JL1vIhD2o4M","Conduct short interviews and surveys to design a basic UI based on real user feedback.","1. What is user-centered design? 2. How do you gather user requirements? 3. What is the difference between user research and usability testing? 4. How do personas aid design? 5. How do you prioritize user needs? 6. Define task analysis. 7. How do you test assumptions in user-centered design? 8. What are user pain points? 9. How do you map user journeys? 10. What is heuristic evaluation?"

"UX Research Basics","Why UX Research Matters","Understand the importance of UX research in building usable products.","https://www.youtube.com/watch?v=Ovj4hFxko7c","Interview 5 users about their experience with an app and document your findings.","1. What is UX research? 2. Why is research important in UX? 3. What are primary and secondary research methods? 4. How do you decide what to research? 5. What are common UX research tools? 6. When should research be conducted in the product cycle? 7. What’s the difference between qualitative and quantitative research? 8. What is usability testing? 9. How do you handle biased responses? 10. How do you summarize research findings?"
"User Personas","Creating User Profiles","Learn how to develop user personas to represent your target audience.","https://www.youtube.com/watch?v=ttmN9I-0zGU","Create 3 detailed user personas for a food delivery app.","1. What is a user persona? 2. Why are personas important? 3. How do you gather data for personas? 4. How many personas should you create? 5. What info is included in a persona? 6. How do personas help in design? 7. What’s the difference between a persona and a real user? 8. Can personas be reused? 9. How do you validate a persona? 10. What’s a proto-persona?"
"Empathy Maps","Understanding User Mindsets","Visualize what users think, feel, say, and do using empathy maps.","https://www.youtube.com/watch?v=5gOZ6cZpLlE","Create an empathy map for a college student using a budgeting app.","1. What is an empathy map? 2. What are its four quadrants? 3. How does it differ from personas? 4. When should you use empathy maps? 5. How do empathy maps improve UX? 6. Who should participate in creating them? 7. How do you gather info for the map? 8. Can you combine maps for similar users? 9. What tools help make empathy maps? 10. How often should you update them?"
"User Journey Maps","Mapping User Experience","Learn how to create a user journey map to visualize user experience across touchpoints.","https://www.youtube.com/watch?v=s8cZ6W9Yt3o","Map the journey of a user booking a train ticket through a mobile app.","1. What is a user journey map? 2. What elements are included in a journey map? 3. How do you identify user touchpoints? 4. What is the goal of journey mapping? 5. What tools can be used? 6. How do you prioritize pain points? 7. What is a service blueprint? 8. How does journey mapping help stakeholders? 9. Can maps apply to both physical and digital experiences? 10. How do you validate a journey map?"

"UI Principles","Fundamentals of UI Design","Learn the basic principles of UI design: alignment, hierarchy, consistency, contrast, and proximity.","https://www.youtube.com/watch?v=9zjK1ONm890","Redesign the login screen of a social media app applying all UI principles.","1. What are the key principles of UI design? 2. Why is consistency important in UI? 3. What is the principle of proximity? 4. How does contrast affect readability? 5. What is visual hierarchy? 6. How do alignment and spacing improve UI? 7. How do you test your UI for effectiveness? 8. Can UI exist without UX? 9. What’s the difference between good and great UI? 10. How do you balance aesthetics and functionality?"
"Typography in UI","Font Usage & Readability","Understand how to choose and use typography for clean, readable interfaces.","https://www.youtube.com/watch?v=wOgIkxAfJsk","Create a blog homepage using different typography styles for headings, body, and CTAs.","1. What is the role of typography in UI? 2. How do you choose a font for an app? 3. What’s the difference between serif and sans-serif? 4. What is a font hierarchy? 5. How do line height and spacing affect readability? 6. What is responsive typography? 7. How many fonts should you use in one project? 8. What is the best font size for mobile UI? 9. How do you test typography accessibility? 10. Name some tools to help with font pairing."
