"Module","Subtopics","Description","Video Links","Interview Questions"
"Python for Data Science","Introduction to Python","Overview of Python's role in data science, libraries used, and setting up environment.","https://www.youtube.com/watch?v=_uQrJ0TkZlc","Set up Jupyter Notebook or Google Colab","1. Why is Python popular for data science?; 2. What libraries are widely used in Python for data science?; 3. What is Anaconda?; 4. Difference between Python 2 and Python 3?; 5. How do you install Python?; 6. What is pip?; 7. What is a virtual environment?; 8. What IDEs are commonly used?; 9. How do you install libraries using pip?; 10. What is conda?"
"Python for Data Science","Data Types (int, float, string)","Understanding basic Python data types.","https://www.youtube.com/watch?v=khKv-8q7YmY","Write a program to swap two variables without using a third variable","1. What are the basic data types in Python?; 2. What is type casting?; 3. How do you convert float to int?; 4. Difference between mutable and immutable types?; 5. What is dynamic typing?; 6. How do you check the data type of a variable?; 7. What is a string?; 8. How do you access string elements?; 9. Difference between single and double quotes?; 10. What is the len() function?"
"Python for Data Science","Lists and Tuples","Introduction to lists and tuples.","https://www.youtube.com/watch?v=1yUn-ydsgKk","Create a Python program to reverse a list","1. What is a list in Python?; 2. How do you create a tuple?; 3. Difference between list and tuple?; 4. How do you access elements in a list?; 5. What is list comprehension?; 6. How do you append elements to a list?; 7. How do you remove elements from a list?; 8. What is slicing in Python?; 9. Difference between extend() and append()?; 10. How do you convert a tuple to a list?"
"Python for Data Science","Dictionaries","Key-value pairs and dictionary operations.","https://www.youtube.com/watch?v=daefaLgNkw0","Write a program to merge two dictionaries","1. What is a dictionary in Python?; 2. How do you create a dictionary?; 3. How do you access dictionary values?; 4. What is the difference between keys() and values()?; 5. How do you add a new key-value pair?; 6. How do you update dictionary values?; 7. What is the get() method?; 8. How do you remove dictionary elements?; 9. What is dictionary comprehension?; 10. How do you iterate over dictionary items?"
"Python for Data Science","Conditional Statements (if)","Understanding if statements.","https://www.youtube.com/watch?v=JwA5TgMmZ4A","Write a Python program to check if a number is positive","1. What is an if statement?; 2. What is the syntax of an if statement?; 3. How do you write multiple conditions?; 4. What is short-circuiting?; 5. Can you use comparison operators with if?; 6. What is the difference between == and !=?; 7. What is the role of indentation?; 8. How do you use 'not' in if statements?; 9. What is the pass keyword?; 10. How do you handle nested if statements?"
"Python for Data Science","Conditional Statements (if-else)","If-else logic flow in Python.","https://www.youtube.com/watch?v=AZV2oIRUiU4","Create a program to check if a number is even or odd","1. What is the syntax for if-else?; 2. What is the else clause?; 3. Can you use multiple else clauses?; 4. What is the difference between if and elif?; 5. What happens if the else clause is missing?; 6. How do you write one-line if-else statements?; 7. What is a ternary operator?; 8. What is short-circuiting in if-else?; 9. How do you use logical operators?; 10. Can you use if-else inside a function?"
"Python for Data Science","Loops (for loop)","Iterating over sequences using for loops.","https://www.youtube.com/watch?v=6iF8Xb7Z3wQ","Write a Python program to print even numbers from 1 to 100","1. What is a for loop?; 2. What is the syntax of a for loop?; 3. How do you iterate over lists?; 4. What is the range() function?; 5. What is list comprehension?; 6. How do you use break and continue?; 7. What is the difference between for and while loops?; 8. How do you use nested for loops?; 9. What is the else clause in for loops?; 10. How do you loop through a dictionary?"
"Python for Data Science","Loops (while loop)","Using while loops.","https://www.youtube.com/watch?v=JpSh3EzRoFk","Write a program to display the Fibonacci sequence using a while loop","1. What is a while loop?; 2. What is the difference between while and for loops?; 3. What is the syntax of a while loop?; 4. What is an infinite loop?; 5. How do you terminate a while loop?; 6. What is the continue statement?; 7. Can you use else with while?; 8. What is the break statement?; 9. What is the role of boolean conditions?; 10. How do you use flags in while loops?"
"Python for Data Science","Functions","Defining and calling functions.","https://www.youtube.com/watch?v=NSbOtYzIQI0","Write a function to find the factorial of a number","1. What is a function in Python?; 2. What are function arguments?; 3. What is the difference between return and print?; 4. What is a lambda function?; 5. What is recursion?; 6. What is the difference between global and local variables?; 7. How do you define a function with default arguments?; 8. What is *args and **kwargs?; 9. What is docstring?; 10. How do you call a function by reference?"
"Python for Data Science","Object-Oriented Programming (OOP)","Introduction to classes, objects, inheritance, and polymorphism.","https://www.youtube.com/watch?v=JeznW_7DlB0","Create a bank account class with methods for deposit and withdrawal","1. What is OOP in Python?; 2. What is the difference between a class and an object?; 3. What is inheritance?; 4. What is polymorphism?; 5. What is encapsulation?; 6. How do you define a constructor?; 7. What is multiple inheritance?; 8. What is method overloading?; 9. What is the role of the 'super' keyword?; 10. What is the difference between public and private variables?"
